id,point_code,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew
121,Bl17,SHU GE SHU - שוּ גֶה שוּ,Diaphragm and Esophagus Shu - שוּ הסרעפת והוושט,"Ge – diaphragm Shu – association - גֶה – סרעפת, שוּ – אסוציאציה/הקשר","Ge – diaphragm Shu – association - גֶה – סרעפת, שוּ – אסוציאציה/הקשר",1.5 צוּן לטרלית לקו האמצע האחורי של גוף חוליה T7 (בגובה הקצה התחתון של השכמה),לא צוין,"1. נקודת שוּ של הסרעפת והוושט
2. נקודת מפגש (Hui) של הדם
3. מניעה דם, מפזרת דם תקוע בכל הגוף
4. פותחת את המעבר לצ'י (וגם דם ונוזלי גוף) בין המחמם העליון והאמצעי
5. מחזקת במצבי חסר דם (Blood Xu)
6. מטהרת ומנקה את החזה
7. מניעה צ'י תקוע בחזה
8. משחררת התכווצויות של הוושט","1. מטפלת בשיעול ספסטי
2. מטפלת בכאבים בחזה
3. מטפלת בהקאות המלוות בהתכווצויות של הקיבה והוושט
4. מטפלת בדימום מסטגנציה של דם
Nei Ching:
“למעלה נמצאת BL15 אשר סמוכה לדם (לב). למטה נמצאת BL17 אשר משמרת את הדם, לכן BL17 היא הנקודה של מעבר הדם”",לא צוין,לא צוין
122,Bl18,GAN SHU - גַאן שׁוּ,Liver Shu - שׁוּ הכָּבֵד,Gan – כָּבֵד Shu – התאחדות / נקודת אסוציאציה - Gan – כָּבֵד Shu – התאחדות,Gan – כָּבֵד Shu – אסוציאציה,1.5 צון לטרלית לקו האמצע האחורי בגובה החוליה החזה ה-9 (T9).,ניקוב אנכי בעומק 0.5-1 צון.,"1. נקודת Shu של הכבד.
2. מנקה ליחה וחום מהכבד.
3. מנקה סטגנציה בכבד.
4. מפזרת יאנג צ'י של חמשת איברי ה-Zang.","משפיעה על יאנג הקיבה, מגבירה חומציות בקיבה.
מטפלת בהיסטריה גלובוס (Globus hystericus) הגורמת לקושי בבליעה.
מטפלת בשיעול הגורם לכאבים בצדי הגוף מסטגנציה של צ'י הכבד.
יחד עם BL19, 20, 21 עבור גברים שאינם מסוגלים להתמודד עם בעיות יום יומיות.
Nei Ching
Su Wen – 52: ""אם נקודה זו מנוקבת בעוצמה רבה מדי, היא עלולה לפגוע בכבד. המטופל ימות תוך 5 ימים עם סימני פיהוק.""",,
123,Bl19,DAN SHU - דָאן שׁוּ,Gall Bladder Shu - שׁוּ של כיס המרה,"Dan – כיס מרה, Shu – נקודת הסכמה/אסוציאציה - דָאן – כיס מרה, שׁוּ – אסוציאציה","דָאן – כיס מרה, שׁוּ – אסוציאציה/הסכמה",1.5 צון לטרלית לקו האמצע הגבי של חוליה טורקלית 10 (T-10) - 1.5 צון לטרלית לקו האמצע הגבי של חוליה גבית T10,ניקוב אנכי 0.5-1 צון - החדרת מחט אנכית בעומק 0.5-1 צון,"1. נקודת שוּ של כיס המרה
2. מפעילה צ'י עץ ומפזרת סטגנציות בכל הגוף
3. פותחת סטגנציה בכיס המרה
4. מטהרת חום ולחות בכיס המרה - 1. נקודת שו של כיס המרה
2. ממריצה צ'י עץ ומפזרת סטגנציות בכל הגוף
3. פותחת סטגנציה בכיס המרה
4. מנקה חום ולחות מכיס המרה","1. מורידה נפיחות בבטן מחולשה של הטחול והקיבה (ST/SP XU)
2. משחררת את הסרעפת, מקדמת איזון בין שלושת המחממים
3. מטפלת בכאב בצד הגוף מחסימת צ'י. - 1. מורידה נפיחות בבטן מחולשת ST/SP
2. משחררת את הסרעפת ומאזנת את שלושת המחממים
3. מטפלת בכאבים בצד הגוף הנגרמים מסטגנציית צ'י.

נֵי צִ'ינג (Nei Ching):
סוּ וֶן – 47: ""כאשר למטופל יש טעם מר בפה, זהו סימן לבעיה בכיס המרה. הכבד פועל כמפקד, אך הוא נמצא תחת פיקוחו של כיס המרה. מרידיאן הכבד זורם אל הגרון. כאשר צ'י כיס המרה נחלש, הוא עולה לגרון וגורם לטעם מר בפה. יש לנקב את נקודות ההֶ שוּ ומוּ BL19, GB24, GB34"".

סוּ וֶן – 52: ""אם נקובים עמוק מדי ב-BL19, כיס המרה ייפגע. המטופל יקיא וימות תוך יום וחצי"".",לא ידוע,יש להיזהר מניקוב עמוק מדי.
124,Bl20,PI SHU (פי שוּ),Spleen Shu (שׁוּ הטחול),"Pi – טחול, Shu – נקודת אסוציאציה (Pi – טחול, Shu – אסוציאציה/הסכמה)","Pi – טחול, Shu – אסוציאציה/הסכמה (נקודת האסוציאציה של הטחול)",1.5 צון לטרלית לקו האמצע האחורי של החוליה החזה ה-11 (T-11) (1.5 צון לטרלית לקו אמצע הגב בגובה החוליה התוראקלית ה-11),יש להתייעץ עם מומחה לדיקור סיני לגבי טכניקת הדיקור המומלצת.,"1. נקודת שוּ של הטחול
2. מחזקת את הטחול והקיבה (SP/ST)
3. תומכת ומחזקת את תפקודי המחמם האמצעי
4. מקדמת את הטרנספורמציה והטרנספורטציה של הטחול
5. מנקה ליחה וסטגנציה מהג'יאו האמצעי
6. מקדמת יצירת צ'י
7. מחזקת את הצ'י של כל האיברים, במיוחד איברי ה-Zang וה-Fu
8. שולחת צ'י לגפיים","1. רגישות ב-BL20 היא סימן לכיב:
בצד שמאל – כיב קיבה
בצד ימין – כיב תריסריון
2. מטפלת בנפיחות בבטן, בצקת במעיים, רעשים (בורבוריגמוס) ואגירת מים.
Nei Ching
Su Wen – 52: ""דיקור עמוק מדי ב-BL20 יפגע בטחול. תתחיל נפיחות והמטופל ימות תוך 10 ימים.""",יש להיזהר מדיקור עמוק מדי.,נקודה חשובה מאוד לטיפול במצבים הקשורים לחולשה של הטחול.
125,Bl21,WEI SHU - וֵיי שׁוּ,Stomach Shu - שׁוּ הַקֵּבָה,Wei – קֵּבָה Shu – אֲסוֹצִיאָצְיָה,"Wei – קֵּבָה, Shu – נקודת אסוציאציה (נקודת שו האחורית)",1.5 צון לָטֵרָלִי לקו האמצע הגבי של חוליה T-12,ניקוב אנכי בעומק 0.5-1 צון,"1. שו של הקיבה
2. מזין יין כליות
3. מחזק קיבה
4. מקבל ענף מהקיבה ומה-ST TMM (גידי שרירים מרידיאניים של הקיבה)
5. מפזר סטגנציה והצטברות של מזון בקיבה
6. בונה ג'ין וייה","מטפל בכאבי קיבה עקב תחושת מלאות וסטגנציה של מזון בקיבה. ניי צ'ינג. סו וון – 28: ""לשלשול מחוסר כליות, יש לחזק את נקודות השו של כליות (BL23) וקיבה""",ללא ציון,ללא ציון
126,Bl22,סאן ג'יאו שוּ,שוּ של מחמם 3,"סאן – 3, ג'יאו – מחמם",נקודת השוּ של המחמם המשולש.,1.5 צון לטרלית לקו האמצע האחורי בגובה L1.,ניקוב אנכי בעומק 0.5-1 צון.,"1. שוּ של המחמם המשולש (TH).
2. מפזר נוזלים ומסדיר את זרימת הג'ין והיֵה.
3. תומך בתפקודי כל האברים.
4. מקבל ענפים מנקודות בכל שלושת המחממים: עליון - CV17, אמצעי - CV12, תחתון - CV5, CV7.
5. מזרים צ'י בכל הגוף.
6. פותח חסימות בכל מקום.","1. פותח את מעברי המים.
2. מביא סדר לטרנספורמציה של מים בכל שלושת המחממים.
3. מטפל בכל בעיות הצטברות צ'י באברי ה-Zang או Fu המתבטאות בתחושת מלאות.
נֶי גִ'ינג:
בהפרעות של המחמם המשולש השתמשו בשיטת שוּ מוּ: שוּ ראשי של המחמם המשולש - CV5
שוּ של המחמם התחתון - CV7
שוּ של המחמם האמצעי - CV12
שוּ של המחמם העליון - CV17",,
127,Bl23,SHEN SHU - שֶׁן שׁוּ,Kidney Shu - שׁוּ הכליה,"Shen - כליה, Shu - נקודת אסוציאציה","Shen – כליה, Shu – אסוציאציה",1.5 צון לטרלית לגבול התחתון של החוליה המותנית השנייה (L-2).,ניקוב אנכי בעומק 0.5-1 צון.,"1. שוּ של הכליות
2. מפגש עם דאי מאי דרך ה-KID divergent
3. מקבל ענף מהכליות
4. מחזק KID CHI/yang
5. תומך בזרימת Yuan CHI לאיברים, מחזק את ה-CHI הכללי
6. מחזק SP CHI/yang","מחזק את הכליות - תפקיד אחיזת ה-CHI
משפיע על האוזניים, מטפל בצפצופים באוזניים מחולשת CHI XU
מחזק את הגב התחתון
מטפל בכאבים ליד הצלעות
מטפל ב-CHI חלש
מחזק KID yang/CHI, מטפל בשפיכה מוקדמת, אימפוטנציה, פליטת זרע לילית
מטפל בבצקת, שלשול בוקר, לשלשול מחוסר, יש לדקור את BL23 5 פעמים, בכל פעם עמוק יותר מהפעם הקודמת, להוסיף BL21 באותה שיטה מבלי לחזק אותו.
Nei Ching
Su Wen – 28: ""בדלקת של הבטן הנגרמת מעודף ST, יש לדקור את נקודת ה-MU של ה-ST (CV12) 5 פעמים. כמו כן, את נקודת ה-Shu של ה-KID (BL23) באמצעות מחט עם קצה עגול""
""לשלשול (ריקנות), יש לדקור את BL23, ה-Shu של ה-KID, 5 פעמים בעומק גדל בכל פעם. כמו כן, יש לדקור את CV12 מבלי לחזק את המרידיאן""
""חלק מקבוצת הנקודות המפזרות את היאנג של 5 איברי ה-Zang""",,
128,Bl24,צ'י האי שו (QI HAI SHU),ים הצ'י שו (Sea of CHI Shu),"ממוקם ישירות מול CV6 (בטן - גב) ים הצ'י, BL24 הוא נקודת השו של ים הצ'י. נקודה זו ממוקמת באזור בו הצ'י זורם בין הכליות.","צ'י – CHI, האי – ים, שו – אסוציאציה/התאחדות",1.5 צון לטרלית לקו האמצע האחורי התחתון של חוליה מותנית 3 (L-3).,ניקוב אנכי לעומק 0.5-1 צון.,"1. משפיע על ים הצ'י - מקבל סעיף מ-CV6.
2. נקודת ים הצ'י, מזינה ומחזקת את זרימת הצ'י בכל הגוף ותומכת בדאן טיאן התחתון.
3. מניעה צ'י תקוע בדאן טיאן התחתון.
4. עובדת בהרמוניה עם BL26, מינג מן, CV4 ו-CV6.","1. משפיעה על החלק העליון של אזור המותניים.
2. מחזקת את הגב התחתון.
3. מסדירה את זרימת הצ'י והדם בכל הגוף.",לא צוין.,לא צוין.
129,Bl25,CHANG SHU - צַ'אנְג שׁוּ,Colon Shu - שׁוּ המעי הגס,Chang - מעי גס; Shu - נקודת אסוציאציה,Chang – מעי גס; Shu – אסוציאציה (נקודת שוּ),1.5 צון לטרלית לקו האמצע האחורי בגובה L-4 (חוליה מותנית רביעית),ניקוב אנכי בעומק 0.5-1 צון,"1. נקודת שוּ של המעי הגס
2. מחזקת את התנועה הפריסטלטית של המעי הגס
3. מנקה את הגוף מרעלים
4. מחזקת תפקודים מנטליים על ידי ניקוי הגוף
5. מגבירה את היכולת לחשוב ולהתרכז","1. מנקה חסימות מנטליות ורגשיות הנגרמות על ידי רעלים
2. מנקה תחושת מלאות ונפיחות
3. מחזקת את הגב התחתון
4. מטפלת בעצירות
5. מטפלת בכאבי בטן ושלשולים",לא צוין,לא צוין
130,Bl26,GUAN YUAN SHU - גואן יואן שו,Gate of Yuan Shu - שער של יואן שו,"Guan – שער, Yuan – מקור צ'י, Shu – נקודת חיבור","גואן - שער, יואן - מקור, שו - אסוציאציה/התחברות.",1.5 צון לטרלית לקו האמצע הגבי של חוליה מותנית 5 (L.B.S.P. Of L-5).,"ניצבת, 0.5-1 צון.","1. נקודת ה-Shu של שער היואן המקבלת שלוחה מ-CV4.
2. משפיעה על הכליות ועל צ'י היואן.
3. שער לחיוניות הגוף.
4. תומכת ומפעילה את CV4 ומניעה את צ'י היואן.
5. עובדת בהרמוניה עם BL24, Ming Men, CV4 ו-CV6.
6. מפעילה ומניעה צ'י מה/בתוך הדאן טיאן התחתון לכל הגוף.",משפיעה על האספקט התחתון של אזור המותניים.,,
