id,point_code,chinese_pinyin,english_name,chinese_characters,etymology,description,location,needling,functions,secondary_functions,cautions,notes,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew,search_keywords_hebrew,created_at
123,Bl19,DAN SHU,Gall Bladder Shu,膽俞,,"Dan – gall bladder Shu – association ","1.5 cun lateral to the L.B.S.P. Of T-10 ","Perpendicular 0.5-1 cun ","1. Shu of gallbladder
2. Activates wood CHI and disperses stagnations throughout the body
3. Opens stagnation in the gallbladder
4. Clears heat and dampness in the gallbladder
","1. Brings down abdominal swelling from ST/SP XU
2. Releases the diaphragm promoting balance between all 3 warmers
3. Treats pain on the side of the body from CHI stagnation
Nei Ching
Su Wen – 47: “When the patient has a bitter taste in his mouth it is a sign of a problem in the gallbladder. The liver acts as captain but it is under the supervision of the GB. The LIV meridian flows to the throat. When GB CHI becomes weak it rises to the throat causing a bitter taste in the mouth. Needle the He Shu and MU points BL19, GB24, GB34”
Su Wen – 52: “If BL19 is needled too deeply the GB will be damaged. The patient will vomit and die within a day and a half”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
106,Bl2,ZAN ZHU,Bamboo Gathering,攢竹,"The eyebrow is similar to bamboo. The medial aspect of the eyebrow where BL-2 is located is the leaf
","Zan – to guard, gather Zhu – bamboo ","Directly above the internal corner of the inner canthus of the eye, close to the medial end of the eyebrow, where a small notch is felt ","Perpendicular 0.2-0.5 cun along the eyebrow towards BL1 ","1. Calms the LIV by opening stagnation in the BL, allowing the passage of yin from
KID - LIV
2. Calms wind attacking the face and head
3. Brightens the eyes by cooling and lowering heat and inflammation
","1.  Treats frontal headache and eye pain
2. Clears blockages in the meridian
3. Cleanses the sinuses
4. According to certain sources it treats nighttime blindness
5. Treats inflammation of the eyes
6. Treats the common cold with sneezing and phlegm blocking the sinuses
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
124,Bl20,PI SHU,Spleen Shu,脾俞,,"Pi – spleen Shu – association ","1.5 cun lateral to the L.B.S.P. Of T-11 ",,"1. Shu of spleen
2. Strengthens SP/ST
3. Supports and tonifies the functions of the middle heater
4. Promotes the SP's transformation and transportation
5. Clears phlegm and stagnation from the middle jiao
6. Promotes formation of CHI
7. Tonifies the CHI of all the organs especially Zang and Fu
8. Sends CHI to the 4 limbs
","1. Sensitivity of BL20 is a sign of an ulcer
On the left side – ST ulcer
Right side –  ulcer of the duodenum
2. Treats abdominal swelling, intestinal edema, noise and water retention
Nei Ching
Su Wen – 52: “Needling BL20 too deep will damage SP. Swelling will begin and the patient will die within 10 days.”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
125,Bl21,WEI SHU,Stomach Shu,胃俞,,"Wei – stomach Shu – association ","1.5 cun lateral to the L.B.S.P. Of T-12 ","Perpendicular 0.5-1 cun ","1. Shu of stomach
2. Nourishes KID Yin
3. Tonifies ST
4. Receives a branch from the stomach and the ST TMM
5. Disperses stagnation and accumulation of food in the ST
6. Builds jin and ye
","Treats ST ache from fullness and stagnation of food in the stomach
Nei Ching
Su Wen – 28: “For diarrhea from KID deficiency, tonify the Shu points of KID (BL23) and ST”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
126,Bl22,SAN JIAO SHU,3 Heater Shu,三焦俞,,"San – 3 Jiao – warmer ","1.5 cun lateral to the L.B.S.P. Of L-1 ","Perpendicular 0.5-1 cun ","1. Shu of the TH
2. Disperses fluids and regulates the flow of jin and ye
3. Supports the functions of all the organs
4. Receives branches from points in all 3 heaters, upper – CV17, middle – CV12,
lower – CV5, CV7
5. Flows CHI throughout the entire body
6. Opens stagnations everywhere
","1. Opens the water passages
2. Brings order to the transformation of water in all 3 heaters
3. Treats all problems of CHI accumulation in the zang or fu organs being
expressed in fullness
Nei Ching
In disturbances of the TH use the Shu Mu method: TH main shu – CV5
Lower jiao shu  -  CV7
Middle jiao shu - CV12
Upper jiao shu -   CV17
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
127,Bl23,SHEN SHU,Kidney Shu,腎俞,,"Shen – kidney Shu – association ","1.5 cun lateral to the L.B.S.P. Of L-2 ","Perpendicular 0.5-1 cun ","1. Shu of kidneys
2. Meeting with Dai Mai by way of the KID divergent
3. Receives a branch from the Kidneys
4. Tonifies KID CHI/yang
5. Supports the flow of Yuan CHI to the organs, tonifies the general CHI
6. Tonifies SP CHI/yang
","Strengthens the kidneys -  task of grasping  CHI
Influences the ears, treats ringing in the ears from CHI XU
Strengthens the lower back
Treats pain near the ribs
Treats weak CHI
Tonifies KID yang/CHI, treats premature ejaculation, impotence, seminal emissions
Treats edema, morning diarrhea, for diarrhea from deficiency needle BL23 5 times, each time deeper than the last, add BL21 using the same method without tonifying it.
Nei Ching
Su Wen – 28: “For inflammation of the abdomen caused by excess of ST the MU point of the ST (CV12) must be needled 5 times. Also the Shu point of the KID (BL23) using a needle with a round tip”
“For diarrhea (emptiness) needle BL23 the Shu of the KID, 5 times with increasing depth each time. Also needle CV12 without tonifying the meridian”
“Part of the group of points that disperse the yang of the 5 Zang organs”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
128,Bl24,QI HAI SHU,Sea of CHI Shu,氣海俞,"Located directly opposite of CV6 (abdomen - back) the sea of CHI, BL24 is the Shu point of the sea of CHI. This point is located at the area where CHI flows from between the KID
","Qi – CHI Hai – sea Shu – association ","1.5 cun lateral to the L.B.S.P. Of L-3 ","Perpendicular 0.5-1 cun ","1. Shu the of sea of CHI - receives a branch from CV6
2. Sea of CHI point, nourishes and strengthens the flow of CHI throughout the body
and supports the lower dan tien
3. Moves stagnated CHI in the lower dan tien
4. Works harmoniously with BL26, Ming Men, CV4 and CV6
","1. Influences the upper part of the lumbar region
2. Strengthens the lower back
3. Regulates the flow of CHI and blood throughout the body
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
129,Bl25,CHANG SHU,Colon Shu,大腸俞,,"Chang – CO Shu – association ","1.5 cun lateral to the L.B.S.P. Of L-4 ","Perpendicular 0.5-1 cun ","1. Shu of the colon
2. Strengthens the colons peristaltic motion
3. Cleanses the body of toxins
4. Strengthens mental functions by cleansing the body
5. Increases ability to think and concentrate
","1. Clears mental and emotional blockages caused by toxins
2. Clears fullness and swelling
3. Strengthens the lower back
4. Treats constipation
5. Treats stomach pain and diarrhea
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
130,Bl26,GUAN YUAN SHU,Gate of Yuan Shu,關元俞,,"Guan – gate Yuan – source CHI Shu – association ","1.5 cun lateral to the L.B.S.P. Of L-5 ","Perpendicular 0.5-1 cun ","1. Shu of the gate of yuan receives branch from CV4
2. Influences the KID and the Yuan CHI
3. Gate of the body's vitality
4. Supports and activates CV4 moving the Yuan CHI
5. Works harmoniously with BL24, ming men, CV4 and CV6
6. Activates and moves CHI from/in the lower dan tien to the entire body
","Influences the lower aspect of the lumbar region
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
131,Bl27,XIAO CHANG SHU,Small Intestine Shu,小腸俞,,"Xiao – small Chang – intestines Shu – association ","1.5 cun lateral to the midline, level with the 1st sacral foramen, in the depression between the medial border of the PSIS and the sacrum ","Perpendicular 0.5-1 cun ","Shu of the small intestine
Receives a branch from the SI
Strengthens the SI's function of building the person. (The SI absorbs the essences vital to building CHI and blood)
Supports KID CHI and KID yin
Forms body fluids, blood, jin and ye
Works harmoniously with CV4 (the MU point of SI and Sea of CHI point), coordinates amount of CHI the person needs
","1.  Treats phlegm and dampness accumulated in the intestines
2.  Treats headache accompanied by a dryness of the mouth and thirst caused by accumulation of toxins forming heat in the intestines
4. Treats watery bowel movements and swelling of the lower abdomen caused by malfunction of the SI's function of absorbing the essences from food
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
132,Bl28,GUAN SHU,Bladder Shu,膀胱俞,,"Pang Guan – urinary bladder Shu – association ","1.5 cun lateral to the midline, in the 2nd sacral foramen ","Perpendicular 0.5-1 cun FUNCTION 1. Shu of BL 2. Receives a branch from the bladder 3. Strengthens the functions of the meridian and organ 4. Opens stagnation of fluids and urine in the BL 5. Expels heat and dampness from the bladder and lower jiao 6. Disperses pure fluids throughout the body 7. Nourishes the Zang - Fu and the entire body with Jin and Ye 8. Chills and dampens the skin ",,"1. Treats pain by releasing pressure from accumulation of fluids in the BL
2. Strengthens the BL muscle, treats urinary incontinence and difficulty urinating
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
133,Bl29,ZHONG LU SHU,Shu of Sacrum and Central Backbone,中膂俞,,"Zhong – center, middle Lu – backbone Shu – association Located the center of the back, between the muscles that are parallel to the spine. This point influences the back and spine ","1.5 cun lateral to the midline, level with the 3rd scral foramen ","Perpendicular 0.5-1cun ","1. Shu of Sacrum
2. Moves local CHI
","1. Treats local pain
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
107,Bl3,MEI CHONG,Eyebrows Ascension,眉衝,"One of the meanings of “Chong” is to rise up. BL3 is located directly above the eyebrows, 0.5 cun behind the hairline. “Mei Chong” describes the rising of CHI from the eyebrows to this point
","Mei – eyebrow Chong – to wash/change ","3.5 cun directly above the BL2 and the glabella ","Diagonal (flat) 0.3-0.5 cun ","1. Sends CHI down
2. Sends cooling and calming CHI to the Zang + Fu by way of the shu points
3. Calms the SHEN
4. Cools the body
","1.  Calms the body in instances of stress, fear and nervousness
2. Raises fluids to the head
3. According to the Nei Ching, it treats sneezing
4. With TH5 it pulls external CHI to the Zang and FU organs promoting balance
with the environment
Nei Ching
Nei Ching – 28: “needle this point for sneezing”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
134,Bl30,BAI HUAN SHU,White Ring Shu,白環俞,,"Bai – white Huan – ring Shu – association In Taoist metaphysics Bai Huan Shu is connected to the area where essences are stored. This is an important storage point of CHI and is connected to the source of the GV. It is also known as Jade Gate. ","1.5 cun lateral to the back midline, level with the 4th sacral foramen ","Perpendicular 0.5-1 cun ","1. Shu of the anus
2. Shu of vagina
3. Disperses and expels dampness from the body
","1. Treats gynecological issues
2. Cleans and purifies the intestines
There are many opinions regarding the meaning of  “Bai Huan Shu”. Why would it be referred to as jade gate? It seems unreasonable that such a precious stone would be associated with this part of the body? Some are of the opinion that “Bai” - white is a reference to the metal element that serves the function of drawing boundaries. This being one of the lower boundaries of the body. The anus and vagina as lower orifices have a crucial task of preserving pure substances and releasing those that are not needed. With that in mind one can concur that BL30 is the Shu point of the anus and vagina.
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
135,Bl31,SHANG LIAO,Upper Bone Hole,上髎,,"Shang – upper Liao – notch in a bone ","In the 1st sacral foramen (half way between that PSIS and the sacrum) ","Perpendicular 0.5-1cun ","Meeting with GB
","1. Moves and activates the CHI in the area of the lower back, vagina and sacrum
2. Strengthens knees and lower back
3. Treats lower back problems
4. Releases local contractions
5. For pain in the kidneys with inability to turn around and genital itching, needle sacral
points bilaterally and additional painful points
Nei Ching
Su Wen – 31: “Fong is a main cause of many disturbances. If the patient shows signs of kidney pain, inability to turn the body and itching of the genitalia, needle the Liao point bilaterally BL31,32,33,34 in addition to this needle painful points”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
136,Bl32,CI LIAO,Second Bone Hole,次髎,"Ci - 2nd
","Liao – notch in a bone ","In the 2nd sacral foramen ","Perpendicular 0.5-1 cun ","1. Promotes the flow of local CHI
2. Sends CHI to the feet
3. Sends CHI to the womb
","Treats white/red vaginal excretions
Treats difficulty urinating, lumbar pain
21 moxa cones for the common cold, acute cold in the feet
Treats contractions/spasm of the womb
Treats labor pains
Promotes the opening of the cervix
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
137,Bl33,ZHONG LIAO,Middle Bone Hole,中髎,,"Zhong – center Liao – notch in a bone ","In the 3rd sacral foramen ","Perpendicular 0.5-1 cun ","1. Meeting with GB
2. Promotes the flow of local CHI
","Influences the Bladder
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
138,Bl34,XIAO LIAO,Lower Bone Hole,下髎,,"Xia – lower Liao – notch in a bone ","In the 4th sacral foramen ","0.5-1 cun ","1. Promotes the flow of local CHI
","2. Influences the Bladder
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
139,Bl35,HUI YANG,Meeting of Yang,會陽,,"Hui – meeting Yang – yang CHI from the GV and the BL, 2 of the most yang meridians meet here ","0.5 cun lateral to the tip of the tailbone ","Perpendicular 0.5-1 cun ","1. Concentrates local yang CHI
2. Promotes the flow of CHI and opens local stagnation
3. Brings CHI to male and female reproductive systems
","1. Treats lower back pain during menstruation
2. Treats impotence
3. Treats hemorrhoids
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
140,Bl36,CHENG FU,Receive and Support,承扶,,"Cheng – to hold Fu – support Located in a region the carries the weight of the upper body ","At the posterior aspect of the thigh, at the middle of the horizontal line of the buttock ","Perpendicular 0.5-1 cun ","1. For lower back pain, sciatica radiating throughout the meridian
2. Promotes the flow of CHI to the legs
3. Calms local muscles
4. Promotes urination
","1. Treats leg pain
2. Treats pain from stagnation of fluids in the BL
3. Treats pain from hemorrhoids by softening local muscles
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
141,Bl37,YIN MEN,Door of Abundance,殷門,,"YIN – abundance Men – door Located at an area of abundant yin, flesh. “Men” is a reference to an acupuncture point where CHI enters and exits ","6 cun under BL36 on the line between BL36-BL40 ","Perpendicular 1 cun ","1. Promotes the flow of CHI to the legs
2. Relaxes the muscles between the buttocks and knees
","Good for pain of the lower back buttocks and pain radiating throughout the leg
","Massage before needling ",,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
142,Bl38,FU XI,Floating Point,浮郄,,"Fu – surfaced, floating Xi – point The name refers to the point’s very shallow location under the skin. Shallow needling is recommended for this point ","1 cun above BL39, with the knee slightly bent 1 cun superior to the popliteal crease, medial to the biceps femoris tendon ","Perpendicular 0.5-1 cun ","1. Cools CHI and flows it to the lower back/kidney area
2. Softens muscles of the lower back
3. Opens blockages in the meridian
SECONDARY FUNCTION
Treats lower back pain
Nei Ching
“When there is disharmony of the Yang Qiao the area of the kidneys will be inflamed and painful, This pain feels like being struck by a hammer. Needle Yang Qiao points BL59 BL60 BL61 and add BL38”
",,,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
143,Bl39,WEI YANG,Bend Yang,委陽,,"Wei – bent Yang – yang Located at the yang aspect of the knee, in the popliteal crease ","At the lateral aspect of the popliteal crease, medial to the biceps femoris muscle ","Perpendicular 0.5-1 cun ","1. Lower sea of TH
2. Regulates all 3 warmers
3. Promotes transformation of fluids throughout the body
4. Regulates the flow of fluids in all 3 warmers
5. Opens the water passages
","Influences the BL and treats urinary problems
Treats knee problems i.e. stiffness from accumulation of fluids and local heat
Treats numbing and contractions of the legs from imbalance of yin/yang in the legs
Nei Ching
This point is part of the group of leg sea points along with GB34, ST36, ST39, ST37
Strengthens the lower jiao. When it is weak there is difficulty controlling the urinary orifice and accumulation of urine with inability to urinate.. When the lower jiao is weak - tonify BL39. If there is accumulation and fullness of the urinary bladder, disperse BL39
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
108,Bl4,QU CHAI,Crooked Curve,曲差,,"Qu – bend, crooked Chai – curved, winding “Qu chai” is a reference to the point’s location, which is not on to the straight line with BL2 and BL3 at this point the meridian deviates from its main pathway ","3.5 cun above the glabella, 1.5 cun lateral to the midline or 1/3rd of the way from the midline to ST8 ",,"1. Sends CHI down
","1. Treats frontal headaches
2. Opens blockages in the frontal sinuses
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
144,Bl40,WEI ZHONG,Middle Bend,委中,,"Wei – crease, crooked Zhong – center Located at the center of the popliteal crease ","At the center of the popliteal crease ","Perpendicular, 0.5-1 cun ","1. He – Sea point
2. Earth point
3. Exit of KID and BL divergent meridians
4. Command point of the hips and lower back
5. Cools the blood
6. Purifies the blood
7. Calms the SHEN
8. Regulates H-E-M
","1. Treats sleep problems
2. Treats pain radiating along the entire leg
3. Treats lumbar pain, chest pain and thigh pain
4. Treats skin problems from heat in the blood
Nei Ching
Su Wen – 32: “One of the points for clearing heat from the limbs, the other are KID11, LU2 and CO15”
Su Wen – 35: “When evil wind penetrates the tai yang the patient will suffer form kidney pain, a sensation of heaviness in the head and cold of the back and finally he will have high fever. If promoting sweat does not heal the patient, needle and bleed BL40”
Su Wen – 36: “When evil wind penetrates the KID, the patient will shake, suffer from pain in the kidneys and spine, constipation, vision problems and the pupils will be constantly moving. Needle BL40, KID4 and KID3.” In all diseases, which emanate from wind, needle BL40 3 times. After the first time the evil CHI will lose strength. After the 2nd time the patient's state will return to normal. After the 3rd time the patient will be healed. If this is not the case, needle and bleed the unifying point of the meridians, which is located under the tongue. (These points are “zin zin” and “yee yee” they are the meeting points of KID CHI with the tongue). If the patient does not recover immediately, needle and bleed BL40. If he still has not recovered needle the 5 SHU points of the Zang organs and the 5 points lateral to them. “When the disturbance emanates from FONG the exact point must be needled or the disease will worsen. If the disease is expressed in headache, falling asleep and discomfort of the legs, then the we must needle the points located on the head and lateral mallelous -  BL61. If the disease begins with pain of the spine and pain near the kidneys, needle and bleed BL40.”
Su Wen – 41: “When the tai yang meridians are attacked the patient will suffer from pain near the kidneys that radiate upward to the neck and downward to the hips. He will feel like he is carrying a heavy load. Needle BL40 and bleed it. If this happens during spring do not needle this point”
",,,null,null,null,null,null,null,null,null,null,null,null,2026-01-27 09:52:19.63215
